ID,GaiaDR2,l,b,dhel,errdhel,rgal,vtot,vr,vlos,E,Lz,Punb
Gaia-T-ES1 , 3252546886080448384 ,193.87,-36.61,1.18,0.09,9.0,598.3,-337.0,1.7,53273,-3578,0.95
Gaia-T-ES2 , 5300505902646873088 ,278.09,-6.83,5.08,0.36,8.9,577.1,-539.3,160.2,40228,-1651,0.98
Gaia-T-ES3 , 2629296824480015744 ,61.28,-46.88,0.89,0.04,7.8,581.1,552.6,-219.7,36368,-827,1
Gaia-T-ES4 , 6505889848642319872 ,332.40,-53.84,3.63,0.36,6.8,583.0,568.9,-38.2,35132,-536,0.85
Gaia-T-ES5 , 5212817273334550016 ,287.70,-25.27,3.81,0.30,7.9,574.7,456.3,159.9,34520,-28,0.86
Gaia-T-ES6 , 3705761936916676864 ,302.68,67.81,3.76,0.34,8.1,566.7,-524.7,88.7,33232,-1354,0.86
Gaia-T-ES7 , 6397497209236655872 ,321.80,-42.67,5.79,0.56,6.6,578.1,-572.7,-8.2,32442,-256,0.88
Gaia-T-ES8 , 5212110596595560192 ,289.93,-28.26,2.92,0.15,7.6,572.9,-553.7,298.2,31964,-842,0.98
Gaia-T-ES9 , 1598160152636141568 ,87.67,49.03,4.54,0.42,9.1,541.6,323.6,-168.7,23898,-3448,0.73
Gaia-T-ES10 , 2233912206910720000 ,88.96,13.49,3.59,0.23,8.7,539.2,78.9,-343.9,18526,-419,0.84
Gaia-T-ES11 , 1042515801147259008 ,153.60,36.20,2.57,0.23,10.0,523.4,403.2,73.9,16960,-2075,0.72
Gaia-T-ES12 , 6385725872108796800 ,319.08,-44.99,3.31,0.30,6.8,547.0,-32.1,-11.5,13880,-2307,0.68
Gaia-T-ES13 , 1552278116525348096 ,102.44,67.05,2.23,0.19,8.5,530.4,490.3,-83.6,13824,-1401,0.7
Gaia-T-ES14 , 5195254636665583232 ,295.99,-23.96,5.70,0.55,7.7,536.3,506.3,191.8,13363,1055,0.63
Gaia-T-ES15 , 5482348392671802624 ,269.29,-28.85,7.54,0.70,11.1,502.9,479.8,434.1,11715,1219,0.71
Gaia-T-ES16 , 5190987741276442752 ,301.17,-22.50,2.74,0.15,7.1,536.9,513.5,171.1,8174,-31,0.68
Gaia-T-ES17 , 5191438266165988352 ,299.83,-21.25,5.84,0.48,7.4,528.9,516.6,319.1,7255,350,0.57
Gaia-T-ES18 , 5637997011047611264 ,255.66,16.50,4.67,0.42,10.2,502.6,-236.2,252.5,6824,-3386,0.63
Gaia-T-ES19 , 1765600930139450752 ,67.47,-31.88,1.73,0.13,7.6,523.6,-376.3,-271.8,4102,559,0.58
Gaia-T-ES20 , 330414789019026944 ,137.29,-24.37,1.96,0.18,9.4,504.4,-150.9,-120.6,3967,-641,0.53
Gaia-T-ES21 , 5869501039771336192 ,307.46,1.96,3.07,0.30,6.6,537.3,142.0,380.5,3374,-1538,0.52
Gaia-T-ES22 , 1400950785006036224 ,75.16,52.41,6.21,0.58,9.3,496.5,138.8,48.2,2495,-1788,0.52
Gaia-T-ES23 , 4747063907290066176 ,267.94,-54.95,2.44,0.13,8.4,508.9,276.2,25.3,2252,-1440,0.55
Gaia-T-ES24 , 5373040581643937664 ,289.09,11.25,5.10,0.45,8.0,511.5,501.1,333.8,177,417,0.49
Gaia-T-ES25 , 73753560659651584 ,152.87,-45.72,1.29,0.07,8.9,501.9,206.9,-166.1,-22,1050,0.47
Gaia-T-ES26 , 2260163008363761664 ,100.58,29.08,3.60,0.29,9.3,494.5,352.5,14.6,-928,-1166,0.48
Gaia-T-ES27 , 1359836093873456768 ,72.19,37.90,3.76,0.32,8.0,505.3,-430.3,-34.2,-1564,1210,0.46
Gaia-T-ES28 , 2853089398265954432 ,108.61,-36.13,1.45,0.13,8.5,500.9,291.8,-303.5,-2531,-3391,0.5
Gaia-T-ES29 , 5800686352131080704 ,316.14,-23.51,3.81,0.24,6.2,527.0,526.8,27.8,-2570,-73,0.45
Gaia-T-ES30 , 4863753908114937728 ,229.68,-52.12,3.66,0.35,10.0,481.4,-464.1,-174.3,-3203,-1170,0.44
