Flag,Catalog,Pal,DelPM,NNsep,PMtot,e_PMtot,FeH,Vtot,e_Vtot,Vesc,Infalling,Claim
3,J201903.50+605636.89,,29.21,3.91,59.58,3.79,-0.72,1559.08,150.83,554.33,,pHVS
3,J073643.79+315016.42,,14.63,4.21,65.64,3.56,-0.16,662.53,43.18,552.72,,pHVS
3,J172441.15+633905.66,*,15,6.52,68.36,4.46,-0.38,959.89,72.79,563.3,X,pHVS
3,J215948.45+451816.99,,32.73,4.43,31.74,4.12,-0.72,1089.7,124.37,555.79,X,pHVS
3,J080536.09-065908.68,,13.65,4.11,59.82,4.98,-0.26,1142.29,122.6,537.73,X,pHVS
3,J075105.68+101437.34,,24.19,5.05,22.79,6.24,-0.61,602.96,126.16,522.48,,pHVS
3,J083123.42-032924.01,,13.32,7.04,52.85,3.69,-0.45,1807.69,149.45,523.57,,pHVS
3,J065138.67+365934.81,,4.44,4.98,164.49,6.64,-0.65,3484.53,285.85,531.75,X,pHVS
3,J210720.57+010344.56,,19.58,4.26,60.65,3.58,-0.51,1241.64,94.23,582.49,X,pHVS
3,J062625.69+270008.36,,16.11,9.69,43.05,3.89,-0.42,1226.51,101.22,535.75,,pHVS
3,J065351.69+274904.65,,15.68,3.43,49.19,4.22,-0.23,1310.47,136.01,522.13,X,pHVS
3,J063625.61+272450.83,,12.86,4.47,17.99,5.3,-0.36,682.62,103.77,529.66,,pHVS
3,J083829.91+175601.98,,28.93,17.04,48.91,7.04,-0.63,1206.72,159.26,527.08,X,pHVS
3,J085405.73+204300.13,,10.09,3.48,55.3,6,-0.37,587.43,44.5,556.16,X,pHVS
3,J011957.58+243941.89,,13.81,3.73,27.08,6.89,-0.62,672.68,142.58,532.27,X,pHVS
3,J030445.87+374854.17,,34.55,4.23,64.39,3.92,-0.55,1202.46,85.95,542.2,X,pHVS
3,J085031.60+112058.04,,130.3,4.89,125.91,3.47,-0.27,637.7,51.53,561.27,,pHVS
3,J071033.40+392823.81,,62.08,6.04,20.49,12.84,-0.67,602.77,173.47,535.36,,pHVS
3,J070157.88+304405.24,,13.73,4.45,75.95,4.95,-0.78,2223.08,222.41,518.44,X,pHVS
3,J074754.55+184731.02,,25.66,4.91,47.43,4.77,-0.54,1504.15,147.11,517.51,X,pHVS
4,J123436.68-000558.61,,20.6,5.55,63.47,6.24,-0.75,1912.5,177.67,553.39,,pHVS
4,J105017.84-000114.84,,18.37,6.31,196.51,8.12,-0.65,1161.86,87.5,566.52,X,pHVS
4,J105300.43-002548.41,,54.26,4.84,344.81,6.1,-0.8,7775.56,634.2,544.65,X,pHVS
4,J002439.00-093916.87,,312.99,3.89,341.35,10.14,-0.41,3167.25,224.97,564.69,X,pHVS
4,J004948.97+153108.51,,19.78,5.77,299.61,7.93,-0.13,931.31,80.24,567.42,,pHVS
4,J205316.53-010616.55,,37.9,1.42,400.31,9.22,-0.21,10628.51,839.2,585.19,,pHVS
4,J035429.27-061354.14,*,21.98,6.74,46.21,7.81,-0.55,986.73,105.63,542.44,,pHVS
4,J012925.63-005902.43,,13.46,3.61,69.71,5.11,-0.53,1370.23,118.94,543.4,,pHVS
4,J160600.59+050742.39,,15.61,4.59,49.12,6.33,-0.52,834.72,71.81,588.02,X,pHVS
4,J001720.40+343634.12,,25.63,6.34,31.25,8.12,-0.58,853.16,137.61,542.95,X,pHVS
4,J100636.50+451652.40,,13.49,4.93,44.45,7.89,-0.78,824.02,118.49,539.87,X,pHVS
4,J143406.17+563047.24,,433.3,9.42,437.58,7,-0.5,3795.14,274.4,565.09,X,pHVS
4,J113931.63+472307.94,,34.93,2.64,246.48,7.53,-0.37,1572.95,120.28,562.68,,pHVS
4,J095529.80+415221.37,,15.32,8.43,42.41,7.41,-0.64,822.48,137.15,533.01,X,pHVS
4,J131425.40+415004.09,,20.37,5.62,87.27,5.9,-0.65,1570.3,162.24,549.87,,pHVS
4,J031230.47+415649.00,,25.5,4.1,133.72,11.66,-0.16,903.27,78.69,559.21,X,pHVS
4,J165032.70+303416.31,,13.46,7.78,48.01,6.99,-0.6,862.65,112.83,577.39,,pHVS
4,J213616.03+745923.91,,369.35,5.96,369.8,11,-0.12,2671.18,196.39,566.76,X,pHVS
4,J110316.01+380029.06,,212.65,6.11,369.71,13.53,-0.36,2798.98,212.49,560.31,,pHVS
4,J213206.91+002644.79,,18.77,6.28,41.71,7.33,-0.64,622.28,103.02,578.05,,pHVS
4,J031104.34+414435.59,,33.95,3.97,88.12,7.35,-0.44,1215.82,133.83,542.62,X,pHVS
4,J074140.00+171608.72,,32.49,9.05,33.26,5.42,-0.54,981.17,144.08,515.74,X,pHVS
4,J211821.44+000955.26,,26.96,5.24,45.36,6.67,-0.52,881.37,130.43,579.89,,pHVS
4,J074728.85+185520.49,,68.75,9.14,58.08,8.13,-0.24,749.97,117.67,539.31,X,pHVS
4,J073040.22+410043.40,,12.5,5.73,40.32,7.32,-0.32,584.8,69.04,547.01,X,pHVS
4,J233604.89+495742.45,,21.79,3.35,75.17,7.05,-0.64,1677.82,166.27,549.37,,pHVS
4,J233901.30+492300.94,,18.8,3.14,34.8,7.98,-0.18,896.76,142.33,551.28,X,pHVS
4,J164601.29+205702.81,,18.3,8.78,58.29,7.61,-0.66,1179.19,163.65,584.21,,pHVS
4,J185443.02+190540.09,,15.47,3.66,36.87,5.99,-0.42,734.02,74.49,588.36,,pHVS
4,J132239.99+260222.75,,16.08,8.1,43.54,6.84,-0.78,828.65,137.46,552.77,,pHVS
4,J183445.62+220630.69,,43.51,4.39,71.84,12.82,-0.18,839.98,118.4,584.62,,pHVS
4,J180956.29+232555.23,,14.97,3.78,57.61,6.15,-0.67,658.1,78.9,585.5,,pHVS
4,J204900.31+154852.38,,25.6,4.96,36.9,5.16,-0.32,1855.63,262.96,552.88,,pHVS
4,J092504.84+190140.91,,24,9,42.14,6.93,-0.37,1280.21,176.74,524.26,X,pHVS
4,J225842.81+063935.96,,20.93,5.62,32.13,6.55,-0.31,585.52,79.09,563.64,X,pHVS
4,J073849.89+415907.92,,109.89,4.18,169.6,11.18,-0.44,1832.98,160.2,548.6,,pHVS
4,J061841.20+644628.63,,159.39,5.58,148.18,6.8,-0.66,1989.72,164.18,545.06,,pHVS
4,J201920.70+594519.14,,16,3.34,46.41,5.04,-0.68,1128.02,118.35,558.94,X,pHVS
4,J203349.13+153932.88,,330.96,5.87,341.56,7.83,-0.45,1656.26,126.26,576.62,,pHVS
4,J080930.63-075408.47,,22.92,5.32,84.16,9.3,-0.14,823.71,101.47,553.9,,pHVS
4,J064443.12+274626.59,,288.59,4.24,300.06,6.8,-0.64,6084.66,461.7,534.31,X,pHVS
4,J023431.41+284438.98,,47.81,3.97,42.86,9.56,-0.64,1652.11,268.33,520.24,X,pHVS
4,J233942.12+082827.22,,12.71,4.95,71.74,5.37,-0.64,638.27,68.63,563.91,,pHVS
NA,J131247.03-011414.01,,4.2,14.36,31.81,4.21,-0.67,NA,NA,NA,NA,pHILLS
NA,J135855.65+552538.19,,4.42,13.33,60.24,3.78,-0.78,NA,NA,NA,NA,pHILLS
NA,J142648.59+563316.32,,8.85,13.98,19.82,3.9,-0.61,NA,NA,NA,NA,pHILLS
NA,J165150.71+242750.95,,3.26,7.33,56.55,3.76,-0.64,NA,NA,NA,NA,pHILLS
NA,J160403.12+332931.07,,0.94,10.66,10.12,3.59,-0.71,NA,NA,NA,NA,pHILLS
NA,J233657.12-002138.79,,5.38,18.63,13.32,3.62,-0.77,NA,NA,NA,NA,pHILLS
NA,J182730.89+211433.40,,2.66,9.32,3.09,4.11,0.08,NA,NA,NA,NA,pHILLS
NA,J171543.37+431736.88,,12.52,4.17,14.27,3.73,-0.6,NA,NA,NA,NA,pHILLS
NA,J113946.33-033651.63,,1.61,12.62,68.38,3.62,-0.5,NA,NA,NA,NA,pHILLS
NA,J000650.47-071035.21,,4.22,7.09,26.78,3.58,-0.64,NA,NA,NA,NA,pHILLS
NA,J000613.77-051228.28,,4.02,6.76,19.48,3.28,-0.77,NA,NA,NA,NA,pHILLS
