Flag,Catalog,Pal,DelPM,NNsep,PMtot,e_PMtot,FeH,Vtot,e_Vtot,Vesc,Infalling,Claim
1,J092613.30+201253.07,,11.76,4.13,12.01,4.31,-0.52,561.94,89.51,525.23,,pHVS
1,J092625.59+200758.80,,25.78,15.36,20.07,4.15,-0.58,733.41,84.38,529.59,,pHVS
1,J080531.08+191443.69,,11.55,4.32,13.58,3.69,-0.55,685.38,94.31,514.77,,pHVS
1,J082648.83+362414.55,,4.67,6.64,24.87,3.4,-0.49,712.75,60.43,535.01,X,pHVS
1,J161837.44+321436.03,,4.54,7.99,26.45,3.89,-0.7,598.46,67.14,572.5,X,pHVS
1,J073542.36+164941.47,,10.43,6.64,28.75,3.97,-0.23,767.38,71.35,533.48,,pHVS
1,J070716.03+125729.15,,7.83,4.53,9.4,4.25,-0.68,708.4,158.35,494.56,,pHVS
1,J080132.31+095111.59,,2.89,4.74,7.87,4.89,-0.77,629.53,192.6,488.19,,pHVS
1,J064531.12+275042.42,,6.35,9.47,20.81,4.32,-0.51,585.28,60.35,537.96,X,pHVS
1,J063254.61+272941.86,,6.99,7.12,29.44,4.85,-0.39,668.72,69.98,541.36,X,pHVS
1,J085000.71+113234.74,,10.53,5.09,9.51,4.86,-0.54,583.59,152.57,506.51,,pHVS
1,J070432.74+284331.30,,3.36,8.37,18.25,4.3,-0.75,791.21,137.29,508.09,,pHVS
1,J065412.40+292304.90,,2.59,6.93,27.37,3.74,-0.29,682.14,55.6,538.29,X,pHVS
1,J070025.61+300628.50,,3.44,8.13,20.07,3.85,-0.31,632.69,60.65,533.65,X,pHVS
1,J065827.16+291313.17,,6.96,5.98,17.96,4.01,-0.7,571.71,60.51,528.28,,pHVS
1,J045025.80-041616.68,,16.81,19.63,19.09,4.07,-0.76,707.42,80.53,526.28,,pHVS
2,J112714.55-005301.33,,7.95,8.17,21.06,7.2,-0.01,635.29,167.48,538.58,,pHVS
2,J100054.80+004357.35,,13.98,12.49,19.07,8.21,-0.53,865.6,228.83,517.69,X,pHVS
2,J104613.69-002513.53,,14.97,11.42,18.83,5.81,-0.66,845.51,207.09,516.21,X,pHVS
2,J081932.03+001947.36,,23.69,1.16,20.1,4.49,-0.69,698.55,103.05,521.47,X,pHVS
2,J112847.51+653746.44,,7.22,7.07,11.23,5.17,-0.33,598.94,119.05,522.95,X,pHVS
2,J081210.06+001211.10,,7.63,8.93,8.76,5.85,-0.57,674.03,206.79,498,,pHVS
2,J095803.54-001725.30,*,7.01,14.35,61.57,7.26,-0.64,1300.81,132.62,543.6,X,pHVS
2,J204056.87-062124.09,,23.92,5.41,25.51,4.64,-0.67,687.4,81.8,591.39,X,pHVS
2,J082756.04+011028.70,,11.99,4.44,17.85,8.12,-0.64,972.73,342.5,490.94,X,pHVS
2,J085508.04+031505.41,,3.44,8.34,6.97,5.85,-0.79,683.28,252.49,482.67,X,pHVS
2,J085545.13+021458.07,,8.66,4.97,61.73,4.05,-0.56,799.08,77.92,547.25,,pHVS
2,J072836.28+343351.93,,18.75,2.03,16.45,4.93,-0.66,886.27,154.72,505.37,X,pHVS
2,J082249.67+461416.29,,13.09,6.26,15.31,4.64,-0.67,837.2,152.66,505.2,X,pHVS
2,J203608.68-060057.17,,3.57,4.88,20.53,7.17,-0.52,678.46,152.05,591.69,X,pHVS
2,J003450.19+160433.26,,16.73,6.98,21.02,4.11,-0.48,602.51,63.5,547.04,X,pHVS
2,J110404.21+021650.31,,8.54,3.41,11.42,5.34,0.27,577.05,144.33,526.24,,pHVS
2,J074811.00+282130.39,,16.66,7.99,13.56,4.61,-0.71,630.38,114.25,515.09,X,pHVS
2,J212043.19+103111.32,,22.19,3.08,27.26,3.99,-0.56,633.39,59.03,576.75,X,pHVS
2,J212128.12+103730.26,,3.76,4.49,66.52,3.69,-0.56,1057.95,77.19,577.37,X,pHVS
2,J075627.42+274144.58,,3.43,4,12.86,5.71,-0.68,638.46,136.14,512.58,,pHVS
2,J074722.67+283724.79,,25.3,5.6,24.57,4.59,-0.34,643.69,65.15,533.51,,pHVS
2,J075209.71+273214.34,,0.7,5.62,20.08,5.14,-0.7,1133.74,176.79,499.44,,pHVS
2,J074256.46+275946.95,,3.22,5.9,5.28,5.6,-0.75,593.46,214.59,484.54,,pHVS
2,J095629.99+454906.20,,6.03,12.43,66.85,11.68,-0.51,1839.31,232.81,529.52,X,pHVS
2,J090534.10+405537.78,,22.48,1.81,18.66,3.94,-0.46,563.29,52.92,538.26,,pHVS
2,J141834.05+501941.07,,6.79,22.58,46.92,6.14,-0.75,592.12,65.21,562.43,,pHVS
2,J032254.29+414358.54,,5.58,9.02,20.78,5.47,-0.48,709.88,129.63,526.12,,pHVS
2,J082456.26+323805.79,,21.62,3.43,21.24,4.2,-0.75,742.61,94,520.31,X,pHVS
2,J010922.05+454520.81,,15.68,2.38,16.4,4.33,-0.65,615.48,88.23,534.73,X,pHVS
2,J011011.24+473038.04,,14.59,3.06,26.5,4.11,-0.34,831.56,116.47,530.44,X,pHVS
2,J082410.12+301833.52,,20.49,8.81,22.81,4.58,-0.68,878.22,114.81,517.53,,pHVS
2,J010757.52+464259.66,,3.71,4.27,19.76,7.51,-0.68,880.87,203.11,526.14,X,pHVS
2,J011226.04+472051.64,,20.79,4.41,19.29,4.42,-0.46,748.68,109.61,530.2,,pHVS
2,J093913.73+382905.11,,19.14,4.53,18.9,4.05,-0.59,589.52,62.1,535.8,,pHVS
2,J103026.65+080707.69,,3.35,6.06,15.12,5.48,-0.57,591.3,103.39,536.54,,pHVS
2,J073554.05+221533.98,,31.65,8.87,27.64,4.56,-0.33,753.04,75.78,532.84,,pHVS
2,J092619.98+092919.75,,15.97,14.5,14.46,5.36,-0.46,718.88,163.8,514.41,X,pHVS
2,J084210.86+052305.58,,26.44,7.15,21.01,4.2,-0.7,649.04,98.01,525.95,,pHVS
2,J074232.64+211017.80,,3.57,4.18,13.92,5.19,0.39,1117.9,335.38,463.76,,pHVS
2,J074317.75+191459.14,*,9.43,8.04,18.74,5.34,-0.61,628.15,121.46,518.14,X,pHVS
2,J212101.55+000256.18,,1.26,3.73,48.79,4.21,-0.57,1016.32,79.7,580.4,X,pHVS
2,J212702.61+002702.38,,5.1,4.63,69.64,4.01,-0.74,904.9,67.72,579.09,X,pHVS
2,J000727.58+260741.33,,2.01,4.19,73.75,4.38,-0.73,1043.01,90.24,554.11,,pHVS
2,J232545.03-011344.09,,4.18,6.62,104.67,4.69,-0.79,1119.07,106.35,565.47,,pHVS
2,J084115.30+062000.96,,30.32,12.42,31.98,3.78,-0.49,818.87,71.58,537.86,,pHVS
2,J215946.78+004400.23,,12,4.46,53.77,3.97,-0.46,614.53,50.57,575.04,,pHVS
2,J160419.74+365623.57,,3.62,10.74,57.5,7.27,-0.36,804.97,81.92,572.75,,pHVS
2,J204527.99-010125.19,,20.62,1.51,20.61,3.69,-0.33,751.69,101.64,584.27,X,pHVS
2,J233759.54+451444.91,,0.82,16.95,65.19,9.59,-0.4,1144.33,124.32,554.62,X,pHVS
2,J080201.62+200637.31,,2.3,5.65,21.29,6.6,-0.75,925.51,172.23,513.22,,pHVS
2,J234446.22+462721.49,*,22.54,5.21,26.5,4.47,-0.44,726.15,80.6,545.4,X,pHVS
2,J232939.29+493558.21,,8.97,3.93,58.37,3.86,-0.69,1478.06,129.95,551.89,X,pHVS
2,J145021.46+105714.46,,14.16,7.89,10.38,4.88,-0.42,666.27,161.97,550.65,X,pHVS
2,J072331.00+374628.22,,21.08,10.36,23.96,8.43,-0.22,1548.43,357.77,487.88,X,pHVS
2,J012306.01+403951.23,,8.57,4.03,45.26,3.59,-0.13,859.32,64.7,546.99,X,pHVS
2,J005833.75+003508.71,,25.29,4.99,20.98,3.67,-0.49,599.3,56.03,547.9,X,pHVS
2,J090243.81+272032.84,,23.22,2.43,23.16,3.74,-0.16,578.4,46.66,542.48,,pHVS
2,J011933.46+384913.06,,3.8,4.43,65.46,4.07,-0.67,998.85,91.54,545.39,,pHVS
2,J004641.51+245831.75,,7.58,4.85,62.19,3.77,-0.77,896.85,72.69,551.19,X,pHVS
2,J071539.69+391306.21,,16.75,7.2,27.04,3.85,-0.47,682.27,66.01,534.76,X,pHVS
2,J092843.92+220642.44,,3.25,4.91,68.53,4.95,-0.67,1338.61,113.62,538.3,X,pHVS
2,J072334.82+403014.50,,26.25,6.22,25.16,4.66,-0.59,1333.03,177.4,502.59,X,pHVS
2,J102707.26+281435.48,,20.1,4.33,24.3,3.82,-0.67,634.29,58.42,543.49,,pHVS
2,J082324.46+160507.22,,28.24,5.06,10.77,4.48,-0.56,598.32,106.68,514.96,,pHVS
2,J182630.57+215302.70,,15.94,4.68,20.61,4.11,-0.54,712.94,82.58,590.25,,pHVS
2,J173604.78+324805.39,,35.1,6.13,20.61,4.82,-0.6,638.81,88.95,576.17,X,pHVS
2,J173620.31+322415.89,,24.51,9.17,21.95,4.52,-0.23,637.35,83.09,576.9,X,pHVS
2,J173712.93+321518.17,,21.38,6.56,22.33,4.62,-0.33,680.87,89.71,576.25,X,pHVS
2,J023849.85+281023.60,,9.24,8.75,15.07,7.22,-0.37,820.15,248.68,506.43,,pHVS
2,J205144.77+160355.64,,8.21,4.29,64.1,3.83,-0.39,938.99,65.98,579.6,,pHVS
2,J203608.79+151728.35,,35.18,4.49,29.27,3.85,-0.37,699.18,64.29,582.42,X,pHVS
2,J202021.64+140742.90,,24.18,3.48,23.59,3.91,-0.37,765.75,81.51,585.89,,pHVS
2,J044830.91-002830.10,,25.78,3.88,16.74,4.55,-0.61,713.78,147.31,505.26,,pHVS
2,J192541.52+375541.93,,8.81,4.97,52.26,4.83,-0.24,782.55,79.17,576.49,,pHVS
2,J082622.27+132728.33,,25.87,7.02,23.5,3.82,-0.51,966.43,109.89,516.78,,pHVS
2,J172630.61+075544.10,,3.92,3.84,59.71,4.06,-0.67,991.56,100.06,598.74,X,pHVS
2,J033730.09+002025.04,,19.05,10.2,23.85,6.25,-0.66,726.92,123.49,526.97,,pHVS
2,J173453.83+075628.50,,11.36,4.43,75.06,3.69,-0.79,790.84,48.85,585.43,,pHVS
2,J173241.12+090358.50,,21.16,3.93,22.98,4.82,-0.73,863.01,107.17,603.49,X,pHVS
2,J090003.97+111858.98,,5.55,4.09,23.64,6.64,-0.43,673.69,170.45,518.4,X,pHVS
2,J124313.57+151414.82,,2.07,2.48,11.89,5.03,-0.35,738.65,159.74,528.47,,pHVS
2,J225912.13+074356.53,,9.65,17.57,44.9,5.58,-0.56,929.62,121.69,556.45,,pHVS
2,J071409.76+305127.87,,25.74,1.83,21.61,4.33,-0.52,1410,195.2,491.96,,pHVS
2,J023000.98+255656.41,,10.06,5.64,30.86,3.72,-0.71,625.33,53.78,544.97,X,pHVS
