name,ra1,ra2,ra3,dec1,dec2,dec3,objid,d[kpc],d_minus[kpc],d_plus[kpc]
HVS1,9,7,44.99,2.0,45,6.8,SDSSJ090744.99+024506.8,161,13,-13
HVS4,9,13,1.01,30.0,51,19.8,SDSSJ091301.01+305119.8,75,7,-6
HVS5,9,17,59.47,67.0,22,38.3,SDSSJ091759.47+672238.3,37,4,-4
HVS6,11,5,57.45,9.0,34,39.4,SDSSJ110557.45+093439.4,52,6,-5
HVS7,11,33,12.12,1.0,8,24.8,SDSSJ113312.12+010824.8,48,5,-4
HVS8,9,42,14.03,20.0,3,22.0,SDSSJ094214.03+200322.0,36,3,-3
HVS9,10,21,37.08,-0.0,52,34.7,SDSSJ102137.08-005234.7,115,10,-10
HVS10,12,3,37.85,18.0,2,50.3,SDSSJ120337.85+180250.3,72,7,-7
HVS12,10,50,9.59,3.0,15,50.6,SDSSJ105009.59+031550.6,74,8,-7
HVS13,10,52,48.3,-0.0,1,33.9,SDSSJ105248.30-000133.9,119,10,-11
HVS11,9,59,6.47,0.0,8,53.4,SDSSJ095906.47+000853.4,56,5,-5
HVS14,10,44,1.75,6.0,11,39.0,SDSSJ104401.75+061139.0,95,9,-9
HVS15,11,33,41.09,-1.0,21,14.2,SDSSJ113341.09-012114.2,61,7,-7
HVS16,12,25,23.4,5.0,22,33.8,SDSSJ122523.40+052233.8,65,6,-6
HVS17,16,41,56.39,47.0,23,46.1,SDSSJ164156.39+472346.1,35,3,-3
HVS18,23,29,4.94,33.0,0,11.4,SDSSJ232904.94+330011.4,96,11,-9
HVS19,11,35,17.75,8.0,2,1.4,SDSSJ113517.75+080201.4,84,11,-11
HVS20,11,36,37.13,3.0,31,6.8,SDSSJ113637.13+033106.8,102,9,-13
HVS21,10,34,18.25,48.0,11,34.5,SDSSJ103418.25+481134.5,96,11,-10
HVS22,11,41,46.44,4.0,42,17.2,SDSSJ114146.44+044217.2,99,16,-14
HVS23,21,56,29.01,0.0,54,44.1,SDSSJ215629.01+005444.1,168,37,-25
HVS24,11,11,36.44,0.0,58,56.4,SDSSJ111136.44+005856.4,63,6,-6
B537,0,28,10.33,21.0,58,9.6,SDSSJ002810.33+215809.6,41,6,-5
B129,7,49,50.24,24.0,38,41.1,SDSSJ074950.24+243841.1,85,9,-8
B167,9,7,10.07,36.0,59,57.5,SDSSJ090710.07+365957.5,33,3,-3
B1080,10,33,57.26,-1.0,15,7.3,SDSSJ103357.26-011507.3,53,5,-4
B1085,11,22,55.77,-9.0,47,34.9,SDSSJ112255.77-094734.9,42,4,-4
B598,14,17,23.34,10.0,12,45.7,SDSSJ141723.34+101245.7,23,2,-2
B1139,18,0,50.86,48.0,24,24.6,SDSSJ180050.86+482424.6,25,3,-3
B572,0,59,56.06,31.0,34,39.2,SDSSJ005956.06+313439.2,27,4,-3
B143,8,18,28.07,57.0,9,22.0,SDSSJ081828.07+570922.0,29,3,-3
B095,10,13,59.79,56.0,31,11.6,SDSSJ101359.79+563111.6,59,6,-6
B458,10,43,18.29,-1.0,35,2.5,SDSSJ104318.29-013502.5,83,12,-10
B576,14,4,32.38,35.0,22,58.4,SDSSJ140432.38+352258.4,51,4,-4
B329,15,48,6.92,9.0,34,23.9,SDSSJ154806.92+093423.9,73,10,-8
B481,23,22,29.47,4.0,36,51.4,SDSSJ232229.47+043651.4,46,5,-6
B434,11,2,24.37,2.0,50,2.8,SDSSJ110224.37+025002.8,41,4,-3
B485,10,10,18.82,30.0,20,28.1,SDSSJ101018.82+302028.1,33,4,-3
B711,14,20,1.94,12.0,44,4.8,SDSSJ142001.94+124404.8,23,2,-2
B733,14,49,55.58,31.0,3,51.4,SDSSJ144955.58+310351.4,12,1,-1
