ID,Catalog,ra,dec,r0,SNR,Vhel,e_Vhel,pmra,e_pmra,pmdec,e_pmdec,Teff,e_Teff,logg,e_logg,FeH,e_FeH,MgFe,Dhel,e_Dhel,RG,e_RG,Vgrf,e_Vgrf,Vesc1,Vesc2,Vesc3,Vesc4,Vesc5
1,J172524.12+565709.6,261.3505,56.95267,13.95,101,-103,11,-17.19,2.62,88.11,2.62,5251,102,4.65,0.43,-0.76,0.36,0.43,1.5,0.2,8,0.2(0.1),644,96,491,540,573,592,607
2,J170333.23+373102.3,255.8885,37.51733,17.5,29,-60,10,-22.6,3,18.79,3,5069,156,4.4,0.41,0.08,0.38,-0.05,4.6,0.9,7.5,0.9(0.3),626,98,500,540,572,603,608
3,J132422.30+312841.6,201.0929,31.47823,15.76,18,-23,16,-24.35,2.36,-27.53,2.36,5828,330,4.03,0.66,0.02,0.62,0.33,4.6,1.5,9,1.5(0.5),572,195,493,523,555,595,596
4,J091255.48+140413.8,138.2312,14.07052,15.26,13,46,22,9.82,2.52,-54.49,2.52,6231,307,4.67,0.36,-0.86,0.82,0.57,2.9,0.9,10.1,0.9(0.3),563,178,474,519,551,574,590
5,J130548.65+282410.7,196.4527,28.40298,17.43,16,114,12,-21.49,2.81,-37.11,2.81,5931,447,4.28,0.93,-1.61,1.536,1.11,3.7,1.4,8.7,1.4(0.4),540,218,492,527,559,593,599
6,J133115.50+150438.9,202.8146,15.07748,18.49,62,-29,6,-20.87,3.05,4.08,3.05,4854,90,4.68,0.29,0.12,0.24,-0.03,5.9,0.8,8.7,0.8(0.5),524,101,505,524,555,608,598
7,J175513.55+511927.4,268.8065,51.3243,13.87,38,-72,11,8.06,2.73,48.98,2.73,5228,170,4.45,0.47,-0.34,0.46,0.32,1.9,0.4,7.9,0.4(0.2),503,83,492,541,575,594,608
8,J113116.03+571131.1,172.8168,57.19199,16.19,23,-91,11,-43.52,2.64,-38.49,2.64,6083,259,4.07,0.5,-1.47,0.89,0.58,2.5,0.6,9.4,0.6(0.3),501,119,481,524,557,581,595
9,J121811.06+284659.9,184.5461,28.78333,14.08,54,-18,8,-48.94,2.57,-0.32,2.57,5068,117,4.64,0.35,0.04,0.3,-0.03,2.5,0.5,8.7,0.5(0.3),490,98,488,530,562,589,600
10,J115209.12+120258.0,178.038,12.04946,15.86,22,206,15,-32.11,2.51,19.24,2.51,5669,280,4.11,0.64,-0.01,0.57,0.1,2.3,0.7,8.5,0.7(0.3),489,92,489,532,565,590,602
11,J004028.68+393853.0,10.11953,39.64808,16.13,19,-54,23,-34.08,2.57,-23.19,2.57,6119,290,4.31,0.5,-0.51,0.69,0.42,3,0.9,9.8,0.9(0.2),671,115,476,523,556,576,593
12,J171952.43+525035.6,259.9685,52.84325,15.62,24,-67,13,-32.84,3.2,83.2,3.2,5703,244,4.2,0.59,-0.11,0.51,0.27,1.4,0.4,7.9,0.4(0.1),621,138,492,541,575,593,608
13,J063934.38+280912.8,99.89327,28.15358,17.02,8,15,30,0.11,2.52,15.04,2.52,6064,431,3.94,0.59,-0.33,0.88,-0.18,5.5,2.3,13.5,2.3(0.7),613,157,451,496,527,548,569
14,J005233.53+413322.6,13.13972,41.5563,14.81,23,-30,23,-48.83,2.55,-32.97,2.55,6187,282,4.34,0.48,-0.43,0.64,0.02,1.8,0.5,9,0.5(0.2),603,91,482,530,564,582,599
15,J012947.93-021343.2,22.44971,-2.228684,14.85,50,13,13,-24.22,3.82,30.44,3.82,5860,183,4.25,0.56,-0.36,0.42,0.26,2,0.4,8.9,0.4(0.2),591,60,484,529,562,585,599
16,J075303.30+272657.0,118.2638,27.44918,17.81,14,75,32,-18.13,3,4.51,3,6017,399,4.26,0.7,-0.39,0.75,0.36,5.1,1.7,12.7,1.7(0.4),583,104,457,499,530,554,573
17,J142235.20+455631.3,215.6467,45.94204,14.89,44,-121,12,-42.77,2.43,11.14,2.43,5231,138,4.68,0.43,-0.57,0.44,0.38,3.1,0.6,8.5,0.6(0.3),561,93,491,531,563,592,601
18,J130744.34-004449.5,196.9348,-0.747102,17.18,9,14,20,-9.72,3.11,11.48,3.11,6035,408,4.28,0.5,-0.27,0.86,0.56,6.1,2.6,8.4,2.6(0.8),527,140,506,526,557,609,600
19,J103858.44+565558.1,159.7435,56.93283,13.74,74,-15,14,-88.1,5.61,97.36,5.61,5785,146,4.28,0.54,-0.74,0.41,0.36,0.6,0.1,8.3,0.1(0.04),508,42,488,538,572,589,605
