ID,Catalog,RA,DEC,pmra,e_pmra,pmdec,e_pmdec,u,g,r,i,z,J,H,K_s,W2,FeH,Vra,Vrb,Type,AV,Dhel,RGC,X,Y,Z,vX,e_vX,vY,e_vY,vZ,e_vZ,Vgt,e_Vgt
LMST_HVS12,J124020.02+453259.6,190.08345,45.549896,26.2,2.6,-52.8,2.6,16.32,15.42,15.15,15.05,15.06,14.34,14.01,14.02,13.95,-1.3,-219,-195,A0,0.042,1.4,8.4,-8.2,0.3,1.3,373,36,-10,7,-58,19,379,32
LMST_HVS13,J123134.97+424736.1,187.89571,42.793379,17.2,2.9,-49.2,2.6,16.83,15.89,15.57,15.46,15.44,14.59,14.31,14.18,14.36,-1.35,-254,-266,F0,0.073,1.3,8.3,-8.2,0.2,1.3,316,30,-32,6,-152,18,354,18
LMST_HVS14,J094122.37-000822.2,145.34323,-0.139505,-46.5,4.4,-67.6,4.6,16.54,15.54,15.23,15.07,15.05,14.2,14.01,13.91,13.85,-1.62,430,426,F0,0.167,0.9,8.4,-8.4,-0.6,0.5,-189,2,-291,16,-10,4,348,14
LMST_HVS15,J073050.71+293212.6,112.7113,29.536856,21.9,3.2,-77.7,2.9,15.85,14.86,14.52,14.4,14.37,13.56,13.21,13.22,13.16,-1.2,-309,-291,F5,0.189,0.8,8.7,-8.7,-0.1,0.2,321,3,-24,25,-117,16,344,7
LMST_HVS16,J123641.48+443715.9,189.17285,44.621092,-23.7,3.2,-55.6,3,17.22,16.35,16.07,15.95,15.95,15.12,14.9,14.95,14.79,-1.79,-257,-259,F0,0.045,1.7,8.5,-8.3,0.3,1.6,116,13,-294,11,-116,18,337,7
LMST_HVS17,J085623.74+211322.3,134.09893,21.222872,-60,3.4,-47.3,2.6,15.09,14.15,13.81,13.88,13.77,12.83,12.5,12.51,12.48,-1.46,223,235,F0,0.078,1,8.7,-8.7,-0.3,0.6,-292,15,-50,13,-132,5,325,17
LMST_HVS18,J173650.63+060814.4,264.21098,6.137351,-30.9,18.7,-15.5,7,16.57,15.25,14.73,14.5,14.39,13.44,13.03,12.99,12.95,-1.51,-436,-416,F5,0.217,0.4,7.6,-7.6,0.2,0.1,-313,5,-17,32,-92,19,329,5
LMST_HVS19,J224207.91+072808.3,340.53297,7.468999,60.2,2.3,-42.7,2.6,16.06,15.28,16.33,14.6,14.43,13.5,13.18,13.24,13.15,-2.18,-462,-436,A0,0.316,0.8,7.9,-7.8,0.6,-0.5,-184,23,-253,4,92,29,329,8
LMST_HVS20,J091849.92-005331.5,139.70801,-0.892091,-45.3,3.2,-85.7,3,14.79,13.91,13.73,13.47,13.42,12.48,12.24,12.2,12.15,-1.81,453,465,A5,0.077,0.5,8.2,-8.2,-0.3,0.2,-202,2,-239,18,76,2,322,14
LMST_HVS21,J122723.65+482136.1,186.84858,48.360029,15.3,3.5,-88.2,3.7,17.04,15.88,15.44,15.28,15.19,14.36,13.96,13.84,13.89,-1.11,-209,-213,G0,0.033,0.9,8.2,-8.2,0.2,0.8,298,26,-113,5,-43,22,323,22
LMST_HVS22,J124330.95+423119.9,190.87898,42.522216,-25.4,2.5,-55.5,2.5,16.74,15.9,15.64,15.56,15.53,14.85,14.56,14.46,14.55,-2.2,-229,-263,A0,0.077,1.5,8.4,-8.2,0.3,1.5,103,9,-260,16,-142,18,315,7
LMST_HVS23,J121437.93+542522.9,183.65808,54.423052,17,3.8,-62.6,4,15.93,14.98,14.72,14.63,14.65,13.82,13.59,13.54,13.57,NA,-203,-197,A0,0.051,1.2,8.4,-8.4,0.4,1.1,302,29,-85,9,14,22,316,26
LMST_HVS24,J212028.30-013323.4,320.11794,-1.556502,51.2,3.8,-47,4,16.87,15.99,15.67,15.54,15.53,14.76,14.36,14.54,14.3,-2.18,-338,-311,F0,0.085,1.1,7.4,-7.4,0.7,-0.6,-231,25,-164,4,-125,42,312,33
LMST_HVS25,J080608.76+063349.8,121.53652,6.563836,14.2,4.6,-20.4,5.1,16.84,15.91,15.65,15.57,15.54,14.84,14.5,14.43,14.64,-1.25,427,423,A0,0.077,1.9,9.5,-9.5,-1,0.6,-170,6,-176,7,185,64,312,33
LMST_HVS26,J065436.50+170313.8,103.64375,17.053856,-1.4,2.1,-16,2.3,15.57,14.05,13.55,13.4,13.6,12.31,11.98,11.91,11.84,-1.23,290,307,F9,0.7,0.2,8.2,-8.2,0,0,-273,11,120,4,41,4,302,9
LMST_HVS27,J102757.74+090030.0,156.99059,9.008337,-160,8,-35,8,15.67,14.5,14.03,14.06,13.73,12.28,12.29,12.8,12.38,NA,293,314,G2,0.09,0.7,8.3,-8.2,-0.3,0.6,-525,35,-154,4,-89,3,555,34
LMST_HVS28,J120758.23+093231.9,181.99265,9.542214,-100,8,-137,8,15.83,14.6,14,14.24,13.65,12.04,12.07,12.65,12.1,-1.55,215,214,G2,0.05,0.8,8,-8,-0.2,0.7,-62,4,-443,26,-15,4,447,25
