ID,Catalog,RA,DEC,pmra,e_pmra,pmdec,e_pmdec,u,g,r,i,z,J,H,K_s,W2,FeH,Vra,Vrb,Type,AV,Dhel,RGC,X,Y,Z,vX,e_vX,vY,e_vY,vZ,e_vZ,Vgt,e_Vgt
LMST_HVS1,J085819.90+150352.4,134.58293,15.064578,-21.8,2.6,-54.3,3,15.23,14.22,14.38,14.13,13.82,12.94,12.69,12.64,12.63,-1.11,428,415,A5,0.062,3.3,10.5,-10.3,-1.5,1.9,-227,7,-705,42,-288,6,795,35
LMST_HVS2,J092707.09+242752.9,141.77954,24.464709,-59.8,8.5,-2.7,8,17.17,16.18,15.83,15.9,15.67,14.9,14.58,14.5,14.4,-1.56,306,308,F5,0.085,2.3,9.6,-9.5,-0.6,1.6,-655,10,92,79,-233,45,707,7
LMST_HVS3,J074233.15+322433.8,115.63816,32.409389,-156,8,-353,8,19.96,17.47,16.12,15.57,15.26,14.1,13.62,13.43,13.09,NA,233,225,K7,0.104,0.4,8.4,-8.3,0,0.1,-329,18,-412,51,-382,24,652,56
LMST_HVS4,J225922.58+262409.9,344.8441,26.402775,-49.3,4.2,72.2,4.5,16.19,15.26,14.96,14.84,14.81,14.04,13.7,13.64,13.62,NA,-229,-220,B6,0.256,0.9,8.1,-8,0.8,-0.5,46,26,248,34,470,36,535,46
LMST_HVS5,J115445.93+523520.3,178.69142,52.588984,56.3,2.2,-76.4,2.6,16.42,15.36,14.95,14.9,14.75,13.88,13.55,13.53,13.46,NA,-228,-219,F2,0.051,1.1,8.4,-8.4,0.3,1,492,41,-50,2,48,31,497,43
LMST_HVS6,J082932.48+282613.3,127.38536,28.437039,-196,8,-395,8,18.99,16.51,15.18,14.64,14.34,13.2,12.64,12.44,12.21,NA,279,282,K7,0.085,0.2,8.2,-8.2,0,0.1,-311,15,-318,42,-177,15,480,43
LMST_HVS7,J231232.05+265039.5,348.13358,26.844326,63.6,2.9,14.6,3,16.12,15.08,14.63,14.78,14.37,13.48,13.08,13,13.01,-0.7,-235,-196,F5,0.171,1.6,8.3,-8.1,1.4,-0.8,-465,82,-55,0,10,6,469,81
LMST_HVS8,J135931.65+413121.6,209.88189,41.522689,-70.3,2.8,-78.4,3.7,16.47,15.47,15.11,14.96,14.93,14.11,13.75,13.66,13.7,NA,261,244,F5,0.033,1,8,-7.9,0.3,0.9,31,0,-164,22,409,22,443,28
LMST_HVS9,J134621.50+301548.2,206.58962,30.263401,-15.2,3.9,-58.4,4.2,16.56,15.66,15.45,15.37,15.37,14.59,14.37,14.37,14.21,NA,-244,-196,A0,0.045,2,7.9,-7.7,0.3,2,238,29,-326,8,-129,8,425,11
LMST_HVS10,J110208.65+575200.2,165.53608,57.866742,70.6,1.9,-84,1.6,14.67,13.42,14.61,12.95,13.24,11.96,11.65,11.63,11.61,-1.16,-219,-227,A0,0.024,0.8,8.4,-8.4,0.2,0.6,409,28,-56,9,85,37,423,35
LMST_HVS11,J224145.15+292428.4,340.43813,29.407892,-15.3,7.2,-60.4,10,16.03,15.09,14.88,14.78,14.76,13.99,13.72,13.72,13.73,NA,-220,-210,A0,0.192,1.4,8.1,-8,1.3,-0.6,326,49,-76,11,-171,5,377,43
