ID,Catalog,Claim,Vhel,e_Vhel,Teff,e_Teff,logg,e_logg,vsini,e_vsini,Mg,e_Mg,g0,e_g0,Dhel,e_Dhel,pmra,e_pmra,pmdec,e_pmdec,fGC,newspec,Type
HVS1,9:07:44.99+02:45:06.9,HVS,831.1,5.7,11192,450,3.91,0.2,158,36,-0.36,0.31,19.69,0.023,102,15,0.08,"0.26,",-0.12,0.22,0.47,n,B
HVS2,9:33:20.87+44:17:05.5,HVS,708,15,44561,675,5.23,0.12,NA,NA,2.22,0.3,18.56,0.013,19,2.6,-7.33,"0.58,",2.28,0.55,0,n,sdO
HVS3,4:38:12.77-54:33:11.9,HVS,723,3,23000,1000,3.95,0.1,55,2,-2.57,0.3,16.36,0.2,61,10,0.52,"0.58,",1.65,0.57,0.07,n,B
HVS4,9:13:01.00+30:51:19.9,HVS,600.9,6.2,14547,598,4.15,0.21,77,40,-0.71,0.33,18.34,0.023,64,9.8,-0.23,"0.36,",-0.42,0.36,0.71,n,B
HVS5,9:17:59.47+67:22:38.3,HVS,545.5,4.3,12000,350,3.89,0.13,133,7,-0.67,0.25,17.58,0.032,45,5.2,0.55,"0.61,",-0.44,0.59,0.16,n,B
HVS6,11:05:57.45+09:34:39.4,HVS,609.4,6.8,12190,537,4.3,0.23,170,55,0.25,0.27,18.94,0.024,55,6.9,0.05,"0.57,",0.31,0.97,0.33,n,B
HVS7,11:33:12.13+01:08:24.8,HVS,526.9,3,12000,500,3.8,0.1,55,2,-0.95,0.26,17.63,0.015,52,6.4,1,"0.82,",-0.55,1.04,0.19,n,B
HVS8,9:42:14.03+20:03:22.0,HVS,499.3,2.9,11000,1000,3.75,0.25,320,60,-0.69,0.4,17.93,0.016,53,9.8,-0.82,"1.16,",-0.04,0.49,0.39,n,B
HVS9,10:21:37.08-00:52:34.7,HVS,616.8,5.1,11637,520,3.84,0.21,306,72,-0.71,0.34,18.64,0.023,74,12,-1.26,"0.74,",-0.25,0.7,0.95,n,B
HVS10,12:03:37.85+18:02:50.3,HVS,467.9,5.6,11278,524,4.38,0.23,37,60,0.65,0.24,19.24,0.024,52,5.8,-1.07,"0.36,",-0.58,0.42,0.86,n,B
HVS12,10:50:09.60+03:15:50.6,HVS,552.2,6.6,12098,622,4.62,0.28,78,88,0.55,0.28,19.63,0.024,66,8.5,-0.4,"0.36,",0.31,0.34,0.08,n,B
HVS13,10:52:48.31-00:01:33.9,HVS,569.3,6.1,11054,775,4,0.35,238,43,-0.1,0.4,20.01,0.021,105,19,-0.9,"0.38,",0.46,0.44,0.03,n,B
B434,11:02:24.37+02:50:02.8,BHVS,443.9,2.9,10232,382,3.93,0.2,117,42,0.06,0.27,18,0.016,39,4.8,-1.61,"0.28,",-0.26,0.42,0.08,y,B
B485,10:10:18.82+30:20:28.1,BHVS,408.1,4.8,16167,542,4.02,0.12,88,69,-1.36,0.3,16.06,0.016,30,4.3,-1.66,"0.52,",-1.15,0.38,0.5,y,B
B711,14:20:01.94+12:44:04.7,BHVS,273.7,5.4,11004,298,4.27,0.15,60,76,0.72,0.26,16.92,0.016,17,2,-0.96,"0.80,",1.55,0.86,0,y,B
B733,14:49:55.58+31:03:51.3,BHVS,348.8,2.3,10522,301,4.25,0.14,240,28,0.87,0.24,15.67,0.02,9,1,-1.77,"0.79,",-3.71,0.89,0,y,B
