Flag,Catalog,specobjid,iauidentifier,feh,distance,Pal,DelPM,NNsep,PMtot,e_PMtot,FeH,Vtot,e_Vtot,Vesc,Infalling,Claim
1,J070025.61+300628.50,3610920236922019840,J070025.61+300628.50,-0.31,3.775049924850464,,3.44,8.13,20.07,3.85,-0.31,632.69,60.65,533.65,X,pHVS
1,J070432.74+284331.30,3609657722728980480,J070432.74+284331.30,-0.75,7.2390899658203125,,3.36,8.37,18.25,4.3,-0.75,791.21,137.29,508.09,,pHVS
1,J070716.03+125729.15,3070499819194705920,J070716.03+125729.15,-0.68,9.739737510681152,,7.83,4.53,9.4,4.25,-0.68,708.4,158.35,494.56,,pHVS
1,J071351.68+392946.37,3313685954211899392,J071351.68+392946.37,-0.62,5.964223384857178,,8.21,7.27,15.81,4.89,-0.62,659.46,116.46,516.92,X,pHVS
1,J072125.29+385314.67,3608521652272472064,J072125.29+385314.67,-0.78,7.435993671417236,,10.17,19.57,9.63,5.03,-0.78,637.68,151.09,507.11,,pHVS
1,J072427.09+403554.18,3608679432191057920,J072427.09+403554.18,-0.65,7.861440181732178,,13.55,11.19,7.5,4.82,-0.65,563.76,145.15,504.55,X,pHVS
1,J073542.36+164941.47,3071621595966498816,J073542.36+164941.47,-0.23,3.982959270477295,,10.43,6.64,28.75,3.97,-0.23,767.38,71.35,533.48,,pHVS
1,J075101.46+375539.93,611472534906365952,J075101.46+375539.93,-0.24,9.481951713562012,,8.76,22.41,22.58,6.56,-0.24,1139.28,244.16,495.47,X,pHVS
1,J075238.30+290658.84,3633400302629134336,J075238.30+290658.84,-0.71,5.561691761016846,,19.43,16.73,18.91,4.76,-0.71,731.34,103.04,520.7,X,pHVS
1,J075243.74+355306.45,1294933096419846144,J075243.74+355306.45,-0.54,9.330789566040039,,8.11,13.89,9.74,5.32,-0.54,621.37,189,496.35,X,pHVS
1,J080132.31+095111.59,3315946000413124608,J080132.31+095111.59,-0.77,11.341736793518066,,2.89,4.74,7.87,4.89,-0.77,629.53,192.6,488.19,,pHVS
1,J080531.08+191443.69,3632247189205524480,J080531.08+191443.69,-0.55,6.590579509735107,,11.55,4.32,13.58,3.69,-0.55,685.38,94.31,514.77,,pHVS
1,J082225.17+334430.61,3634515756672196608,J082225.17+334430.61,-0.43,4.546494960784912,,1.52,9.47,22.61,4.32,-0.43,629.41,77.93,529.14,,pHVS
1,J082552.41-000847.20,1299336372976379904,J082552.41-000847.20,-0.71,10.138833999633789,,5.79,11.17,9.21,5.82,-0.71,696.26,215.82,498.04,,pHVS
1,J082648.83+362414.55,3635554795378548736,J082648.83+362414.55,-0.49,3.825432777404785,,4.67,6.64,24.87,3.4,-0.49,712.75,60.43,535.01,X,pHVS
1,J085000.71+113234.74,3007389496447704064,J085000.71+113234.74,-0.54,8.420868873596191,,10.53,5.09,9.51,4.86,-0.54,583.59,152.57,506.51,,pHVS
1,J090810.59+393808.36,3545604297691602944,J090810.59+393808.36,-0.6,5.161703109741211,,9.76,10.02,14.02,5.44,-0.6,548.19,99.04,526.2,,pHVS
1,J092613.30+201253.07,3734658726729195520,J092613.30+201253.07,-0.52,5.654475212097168,,11.76,4.13,12.01,4.31,-0.52,561.94,89.51,525.23,,pHVS
1,J092625.59+200758.80,3734655153316405248,J092625.59+200758.80,-0.58,5.049016952514648,,25.78,15.36,20.07,4.15,-0.58,733.41,84.38,529.59,,pHVS
1,J093342.56+443657.82,3676217759232008192,J093342.56+443657.82,-0.1,10.20092487335205,,7.41,2.24,12.15,4.55,-0.1,781.78,175.02,495.46,X,pHVS
1,J093644.57+381635.72,3629951958548324352,J093644.57+381635.72,-0.04,11.165853500366211,,4.19,10.97,5,5.12,-0.04,558.73,170.09,490.55,,pHVS
1,J104558.18-004855.54,2712369912029931520,J104558.18-004855.54,0.41,7.902027130126953,,5.33,11.44,14.3,5.72,0.41,582.43,160.17,523.01,,pHVS
1,J145132.12+003258.02,3303552582252783616,J145132.12+003258.02,-0.59,5.8364739418029785,*,9.76,11.09,16.46,8.26,-0.59,632.26,158.78,578.8,X,pHVS
1,J160720.20+372933.41,3903544813793943552,J160720.20+372933.41,-0.53,8.119224548339844,,15.41,15.2,17.29,4.29,-0.53,808.12,130.15,546.87,,pHVS
1,J161837.44+321436.03,3894626675115270144,J161837.44+321436.03,-0.7,4.245029449462891,,4.54,7.99,26.45,3.89,-0.7,598.46,67.14,572.5,X,pHVS
1,J183155.19+205839.07,2853047472085821440,J183155.19+205839.07,-0.21,1.230193018913269,,6.02,6.3,6.84,3.55,-0.21,1096.52,53.73,580.4,,pHVS
1,J183402.98+215017.57,2853193982010222592,J183402.98+215017.57,-0.19,1.7855768203735352,,5.56,7.38,4.93,3.57,-0.19,966.5,41.89,583.23,,pHVS
2,J000727.58+260741.33,,,,,,2.01,4.19,73.75,4.38,-0.73,1043.01,90.24,554.11,,pHVS
2,J001755.41+350541.26,1652875539385444352,J001755.41+350541.26,-0.6,5.208199977874756,,28.87,5.2,25.3,3.76,-0.6,818.31,88.99,537.12,X,pHVS
2,J003450.19+160433.26,3600738484622565376,J003450.19+160433.26,-0.48,3.81181263923645,,16.73,6.98,21.02,4.11,-0.48,602.51,63.5,547.04,X,pHVS
2,J004641.51+245831.75,2317263967556233216,J004641.51+245831.75,-0.77,2.9486491680145264,,7.58,4.85,62.19,3.77,-0.77,896.85,72.69,551.19,X,pHVS
2,J005833.75+003508.71,1219485431075203072,J005833.75+003508.71,-0.49,3.6886677742004395,,25.29,4.99,20.98,3.67,-0.49,599.3,56.03,547.9,X,pHVS
2,J010757.52+464259.66,1657461051186243584,J010757.52+464259.66,-0.68,6.133431911468506,,3.71,4.27,19.76,7.51,-0.68,880.87,203.11,526.14,X,pHVS
2,J010922.05+454520.81,1656211455717959680,J010922.05+454520.81,-0.65,4.882791519165039,,15.68,2.38,16.4,4.33,-0.65,615.48,88.23,534.73,X,pHVS
2,J011011.24+473038.04,1657472596058335232,J011011.24+473038.04,-0.34,5.4894490242004395,,14.59,3.06,26.5,4.11,-0.34,831.56,116.47,530.44,X,pHVS
2,J011226.04+472051.64,1657491562633914368,J011226.04+472051.64,-0.46,5.500494003295898,,20.79,4.41,19.29,4.42,-0.46,748.68,109.61,530.2,,pHVS
2,J011326.87+263336.54,2319457499243112448,J011326.87+263336.54,-0.6,5.0595502853393555,,12.49,5.88,26.68,3.45,-0.6,729.83,84.87,533.47,X,pHVS
2,J011933.46+384913.06,2321704070923970560,J011933.46+384913.06,-0.67,3.34137225151062,,3.8,4.43,65.46,4.07,-0.67,998.85,91.54,545.39,,pHVS
2,J012306.01+403951.23,2630203124853270528,J012306.01+403951.23,-0.13,3.111178159713745,,8.57,4.03,45.26,3.59,-0.13,859.32,64.7,546.99,X,pHVS
2,J022949.86+005939.54,3520847969245044736,J022949.86+005939.54,-0.51,4.58204984664917,,20.04,4.39,14.65,3.83,-0.51,566.5,64.3,533.76,,pHVS
2,J023000.98+255656.41,2701145814973048832,J023000.98+255656.41,-0.71,2.901209592819214,,10.06,5.64,30.86,3.72,-0.71,625.33,53.78,544.97,X,pHVS
2,J023849.85+281023.60,3555736297140232192,J023849.85+281023.60,-0.37,8.167922973632812,,9.24,8.75,15.07,7.22,-0.37,820.15,248.68,506.43,,pHVS
2,J025347.64+323620.59,3614302884881080320,J025347.64+323620.59,-0.44,5.967350482940674,,23.17,7.44,19.42,4.54,-0.44,907.05,126.76,520.07,X,pHVS
2,J030746.77+371352.88,2750594981377894400,J030746.77+371352.88,-0.17,4.9913811683654785,,9.53,3.9,14.57,7.36,-0.17,612.38,139.89,526.76,,pHVS
2,J031208.74+423108.62,2721399368946051072,J031208.74+423108.62,-0.5,3.868058204650879,,13.16,1.82,20.12,4.09,-0.5,662.01,77.04,535.85,,pHVS
2,J032254.29+414358.54,1875912572457216000,J032254.29+414358.54,-0.48,5.053369045257568,,5.58,9.02,20.78,5.47,-0.48,709.88,129.63,526.12,,pHVS
2,J033730.09+002025.04,2329659312344950784,J033730.09+002025.04,-0.66,5.036232948303223,,19.05,10.2,23.85,6.25,-0.66,726.92,123.49,526.97,,pHVS
2,J044753.84-050857.18,3516266302715043840,J044753.84-050857.18,-0.72,3.5184996128082275,,15.6,4.91,22.66,3.83,-0.72,617.02,58.24,538.35,,pHVS
2,J044827.52+221051.07,3038943835477534720,J044827.52+221051.07,-0.38,2.7062573432922363,,29.2,5.53,28.22,4.39,-0.38,724.92,70.09,543.05,X,pHVS
2,J044830.91-002830.10,897387618575083520,J044830.91-002830.10,-0.61,8.007984161376953,,25.78,3.88,16.74,4.55,-0.61,713.78,147.31,505.26,,pHVS
2,J045357.17-045059.85,3516224796151095296,J045357.17-045059.85,-0.63,6.077096939086914,,26.36,5.65,21.03,4.3,-0.63,817.33,105.34,518.75,X,pHVS
2,J045649.71-052107.43,3516186313244123136,J045649.71-052107.43,-0.5,4.236241817474365,,17.33,3.55,19.23,3.47,-0.5,620.98,59.54,532.5,,pHVS
2,J051955.34+622136.19,2589675125750130688,J051955.34+622136.19,-0.39,1.4632798433303833,,2.94,3.87,90.93,4.83,-0.39,1017.83,66.58,557.25,,pHVS
2,J053055.16+624225.68,2591942868935403520,J053055.16+624225.68,-0.11,4.420748710632324,,16.93,4.7,20.53,4.17,-0.11,694.95,81.54,531.34,X,pHVS
2,J060306.77+825829.20,2868837837392865280,J060306.77+825829.20,-0.06,3.2486376762390137,,3.38,5.62,56.08,3.72,-0.06,726.94,75.37,545.7,,pHVS
2,J063344.83+274319.62,3035571354293266432,J063344.83+274319.62,-0.49,3.326929807662964,,26.95,7.31,19.9,4.08,-0.49,614.63,63.72,537.44,X,pHVS
2,J063431.49+270651.41,3035567506002569216,J063431.49+270651.41,-0.78,4.376172065734863,,2.52,5.85,17.52,9.1,-0.78,710.81,166.77,528.58,X,pHVS
2,J063533.05+264104.75,3035458654351419392,J063533.05+264104.75,-0.59,3.382629156112671,,8.66,7.07,31.83,3.39,-0.59,842.99,66.91,536.99,,pHVS
2,J064257.02+371604.28,3019716950302418944,J064257.02+371604.28,-0.33,1.810065746307373,,5.13,4.57,49.09,3.6,-0.33,636.86,40.83,551.83,,pHVS
2,J064337.13+291410.01,3033269527237388288,J064337.13+291410.01,-0.55,2.903106927871704,,2.37,6.3,38.09,3.64,-0.55,798.77,57.31,541.26,X,pHVS
2,J064542.77+365019.92,3039944391109142528,J064542.77+365019.92,-0.64,2.9112110137939453,,22.34,6.05,23.74,3.94,-0.64,595.41,49.85,541.15,X,pHVS
